"LOCUS"	"LENGTH"	"RECORD_DATE"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"strain"	"segment"	"gene"	"product"	"codon_start"	"note"	"COMPLEMENT"	"position"	"regAssign"
"DQ165044"	" 639"	"21-OCT-2013"	"-1"	"Bhutan"	"-1"	"O"	"O/BHU/28/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165043"	" 639"	"21-OCT-2013"	"-1"	"Bhutan"	"-1"	"O"	"O/BHU/26/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165042"	" 639"	"21-OCT-2013"	"-1"	"Bhutan"	"-1"	"O"	"O/BHU/47/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165041"	" 639"	"21-OCT-2013"	"-1"	"Bhutan"	"-1"	"O"	"O/BHU/41/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165040"	" 639"	"21-OCT-2013"	"-1"	"Bhutan"	"-1"	"O"	"O/BHU/24/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165039"	" 639"	"21-OCT-2013"	"-1"	"Bhutan"	"-1"	"O"	"O/BHU/22/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165038"	" 638"	"21-OCT-2013"	"-1"	"Bhutan"	"-1"	"O"	"O/BHU/38/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>638"	"1"
"DQ165037"	" 639"	"21-OCT-2013"	"-1"	"Bhutan"	"-1"	"O"	"O/BHU/2/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165036"	" 639"	"21-OCT-2013"	"-1"	"Afghanistan"	"-1"	"O"	"O/AFG/50/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165035"	" 639"	"21-OCT-2013"	"-1"	"Afghanistan"	"-1"	"O"	"O/AFG/16/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165034"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/3/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165033"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/2/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165032"	" 636"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/1/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>636"	"1"
"DQ165031"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/2/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165030"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/1/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165029"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/20/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165028"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/19/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165027"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/16/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165026"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/14/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165025"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/13/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165024"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/12/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165023"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/10/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165022"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/9/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165021"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/8/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165020"	" 639"	"21-OCT-2013"	"-1"	"Viet Nam"	"-1"	"O"	"O/VIT/6/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165019"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/13726/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165018"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/9359/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165017"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/5565/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165016"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/5060/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165015"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/4553/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165014"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/4027/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165013"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/4021/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165012"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/3802/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165011"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/3730/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165010"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/478/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165009"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/438/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165008"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/241/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165007"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/240/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165006"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/198/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165005"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/195/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165004"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/174/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165003"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/152/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165002"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/150/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165001"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/130/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ165000"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/128/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164999"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/123/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164998"	" 639"	"21-OCT-2013"	"-1"	"United Kingdom"	"-1"	"O"	"O/UKG/31/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164997"	" 639"	"21-OCT-2013"	"-1"	"United Arab Emirates"	"-1"	"O"	"O/UAE/6/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164996"	" 639"	"21-OCT-2013"	"-1"	"United Arab Emirates"	"-1"	"O"	"O/UAE/3/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164995"	" 639"	"21-OCT-2013"	"-1"	"United Arab Emirates"	"-1"	"O"	"O/UAE/2/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164994"	" 639"	"21-OCT-2013"	"-1"	"United Arab Emirates"	"-1"	"O"	"O/UAE/1/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164993"	" 639"	"21-OCT-2013"	"-1"	"United Arab Emirates"	"-1"	"O"	"O/UAE/4/99"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164992"	" 639"	"21-OCT-2013"	"-1"	"United Arab Emirates"	"-1"	"O"	"O/UAE/7/97"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164991"	" 639"	"21-OCT-2013"	"-1"	"Turkey"	"-1"	"O"	"O/TUR/7/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164990"	" 638"	"21-OCT-2013"	"-1"	"Turkey"	"-1"	"O"	"O/TUR/3/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>638"	"1"
"DQ164989"	" 639"	"21-OCT-2013"	"-1"	"Turkey"	"-1"	"O"	"O/TUR/1/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164988"	" 639"	"21-OCT-2013"	"-1"	"Turkey"	"-1"	"O"	"O/TUR/12/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164987"	" 639"	"21-OCT-2013"	"-1"	"Turkey"	"-1"	"O"	"O/TUR/5/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164986"	" 639"	"21-OCT-2013"	"-1"	"Turkey"	"-1"	"O"	"O/TUR/3/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164985"	" 639"	"21-OCT-2013"	"-1"	"Turkey"	"-1"	"O"	"O/TUR/2/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164984"	" 639"	"21-OCT-2013"	"-1"	"Turkey"	"-1"	"O"	"O/TUR/8/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164983"	" 639"	"21-OCT-2013"	"-1"	"Turkey"	"-1"	"O"	"O/TUR/5/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164982"	" 639"	"21-OCT-2013"	"-1"	"Turkey"	"-1"	"O"	"O/TUR/2/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164981"	" 639"	"21-OCT-2013"	"-1"	"Thailand"	"-1"	"O"	"O/TAI/3/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164980"	" 638"	"21-OCT-2013"	"-1"	"Thailand"	"-1"	"O"	"O/TAI/2/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>638"	"1"
"DQ164979"	" 639"	"21-OCT-2013"	"-1"	"Thailand"	"-1"	"O"	"O/TAI/2/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164978"	" 639"	"21-OCT-2013"	"-1"	"Thailand"	"-1"	"O"	"O/TAI/9/99"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164977"	" 639"	"21-OCT-2013"	"-1"	"Thailand"	"-1"	"O"	"O/TAI/8/99"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164976"	" 639"	"21-OCT-2013"	"-1"	"Thailand"	"-1"	"O"	"O/TAI/4/99"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164975"	" 639"	"21-OCT-2013"	"-1"	"Syria"	"-1"	"O"	"O/SYR/3/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164974"	" 639"	"21-OCT-2013"	"-1"	"Syria"	"-1"	"O"	"O/SYR/2/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164973"	" 639"	"21-OCT-2013"	"-1"	"Syria"	"-1"	"O"	"O/SYR/1/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164972"	" 639"	"21-OCT-2013"	"-1"	"Singapore"	"-1"	"O"	"O/SKR/1/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164971"	" 639"	"21-OCT-2013"	"-1"	"Saudi Arabia"	"-1"	"O"	"O/SAU/13/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164970"	" 639"	"21-OCT-2013"	"-1"	"Saudi Arabia"	"-1"	"O"	"O/SAU/11/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164969"	" 639"	"21-OCT-2013"	"-1"	"Saudi Arabia"	"-1"	"O"	"O/SAU/3/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164968"	" 639"	"21-OCT-2013"	"-1"	"Saudi Arabia"	"-1"	"O"	"O/SAU/2/99"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164967"	" 639"	"21-OCT-2013"	"-1"	"Qatar"	"-1"	"O"	"O/QTR/3/99"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164966"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/12/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164965"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/11/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164964"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/10/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164963"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/9/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164962"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/8/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164961"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/7/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164960"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/6/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164959"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/5/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164958"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/4/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164957"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/3/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164956"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/2/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164955"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/1/2004"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164954"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/23/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164953"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/21/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164952"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/17/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164951"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/10/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164950"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/5/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164949"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/14/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164948"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/13/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164947"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/5/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164946"	" 639"	"21-OCT-2013"	"-1"	"Philippines"	"-1"	"O"	"O/PHI/5/95"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164945"	" 639"	"21-OCT-2013"	"-1"	"-1"	"-1"	"O"	"O/PAT/3/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164944"	" 639"	"21-OCT-2013"	"-1"	"-1"	"-1"	"O"	"O/PAT/2/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164943"	" 633"	"21-OCT-2013"	"-1"	"Pakistan"	"-1"	"O"	"O/PAK/53/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>633"	"1"
"DQ164942"	" 633"	"21-OCT-2013"	"-1"	"Pakistan"	"-1"	"O"	"O/PAK/45/2003"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>633"	"1"
"DQ164941"	" 639"	"21-OCT-2013"	"-1"	"Oman"	"-1"	"O"	"O/OMN/7/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164940"	" 639"	"21-OCT-2013"	"-1"	"Oman"	"-1"	"O"	"O/OMN/4/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164939"	" 639"	"21-OCT-2013"	"-1"	"Nepal"	"-1"	"O"	"O/NEP/13/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164938"	" 639"	"21-OCT-2013"	"-1"	"Nepal"	"-1"	"O"	"O/NEP/12/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164937"	" 639"	"21-OCT-2013"	"-1"	"Nepal"	"-1"	"O"	"O/NEP/2/99"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164936"	" 639"	"21-OCT-2013"	"-1"	"Nepal"	"-1"	"O"	"O/NEP/9/98"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164935"	" 639"	"21-OCT-2013"	"-1"	"Nepal"	"-1"	"O"	"O/NEP/4/98"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164934"	" 639"	"21-OCT-2013"	"-1"	"Nepal"	"-1"	"O"	"O/NEP/109/97"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164933"	" 639"	"21-OCT-2013"	"-1"	"Nepal"	"-1"	"O"	"O/NEP/104/97"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164932"	" 639"	"21-OCT-2013"	"-1"	"Nepal"	"-1"	"O"	"O/NEP/4/92"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164931"	" 639"	"21-OCT-2013"	"-1"	"Nepal"	"-1"	"O"	"O/NEP/6/91"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164930"	" 639"	"21-OCT-2013"	"-1"	"Nepal"	"-1"	"O"	"O/NEP/121/90"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164929"	" 639"	"21-OCT-2013"	"-1"	"Nepal"	"-1"	"O"	"O/NEP/111/90"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164928"	" 639"	"21-OCT-2013"	"-1"	"Myanmar"	"-1"	"O"	"O/MYA/7/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164927"	" 639"	"21-OCT-2013"	"-1"	"Myanmar"	"-1"	"O"	"O/MYA/2/2000"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164926"	" 639"	"21-OCT-2013"	"-1"	"Myanmar"	"-1"	"O"	"O/MYA/5/99"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164925"	" 639"	"21-OCT-2013"	"-1"	"Myanmar"	"-1"	"O"	"O/MYA/7/98"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164924"	" 639"	"21-OCT-2013"	"-1"	"Myanmar"	"-1"	"O"	"O/MYA/13/89"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164923"	" 639"	"21-OCT-2013"	"-1"	"Malaysia"	"-1"	"O"	"O/MAY/1/2002"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164922"	" 639"	"21-OCT-2013"	"-1"	"Malaysia"	"-1"	"O"	"O/MAY/6/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164921"	" 639"	"21-OCT-2013"	"-1"	"Malaysia"	"-1"	"O"	"O/MAY/5/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
"DQ164920"	" 639"	"21-OCT-2013"	"-1"	"Malaysia"	"-1"	"O"	"O/MAY/3/2001"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"1D"	"FALSE"	"<1..>639"	"1"
